Team brjFEj: 1939652216 points, rank 1
Team UdlGdQYdK: 5781895 points, rank 2297
Team mursrJHYpXnJpY: 1898670227 points, rank 426
Team DYAPAxQoIgWLgbKsXCws: 1191433157 points, rank 1138
Team DdaFBzH: 481069360 points, rank 1891
Team FzQyFLcHyFQuBpyp: 420475233 points, rank 1943
Team FLySzzQFi: 697489876 points, rank 1672
Team bsOfUqtUt: 1223629674 points, rank 1120
Team pnmXFOZecK: 573602552 points, rank 1821
Team ZgtchfIfKiKWzinap: 233665892 points, rank 2144
Team rkmQWxuX: 32943778 points, rank 2344
Team kYyElnRQN: 1706806597 points, rank 617
Team olMjvsEumbR: 1431709491 points, rank 908
Team vTZxZU: 600408595 points, rank 1802
Team MPHohsEswELOFKafJ: 561422953 points, rank 1844
Team lmoaoywIqkNiaTrLhCGd: 528080924 points, rank 1888
Team HHoIVSfPHXN: 991857022 points, rank 1388
Team KWTpopVVDZS: 2048731195 points, rank 277
Team dJlxRexWVCcRfI: 894701735 points, rank 1494
Team zbElK: 774993694 points, rank 1641
Team pUfgXAnuPKVMNXqsUcP: 1431612541 points, rank 919
Team oyxhbVq: 913888278 points, rank 1476
Team FmoMjuIUefWTGwbmWsoE is ELIMINATED
Team ZTxmuObKaLwjaVcG: 205173883 points, rank 2211
Team tporUWWlKfo: 1388443441 points, rank 983
Team SFUqTMvTdmNEfSS: 1585715320 points, rank 771
Team SifxHHw: 146517196 points, rank 2278
Team dwjnhShr: 153359036 points, rank 2273
Team ylFGHNXIUOExrtGDa: 1928408531 points, rank 414
Team JWaeCyukLmYt: 771129059 points, rank 1671
Team AHJEnxAraKOdCuPUbtxS: 1905366020 points, rank 442
Team MKdOOyqwgsN: 185008063 points, rank 2264
Team kFJArm: 1185214101 points, rank 1201
Team lofWNpJb: 1830092705 points, rank 516
Team zgcEKHquZIFuUEL: 1184329161 points, rank 1208
Team KslSONdaLpYjK: 1858634911 points, rank 485
Team kSCCmL: 2769504928 points, rank 70
Team ZReWQoPgWkyzOKo: 2025568301 points, rank 313
Team hEXdLMJnvhi: 1007071811 points, rank 1429
Team MPHohsEswELOFKafJ: 561422953 points, rank 1925
Team EfRHYzFSQnmOgSWbLUlg: 985237443 points, rank 1447
Team ZuoonbraXEGAEAOYAg: 1528812377 points, rank 846
Team hMTWHIXRJIMi: 1476607416 points, rank 893
Team rKyed: 1244835232 points, rank 1174
Team CXjpa: 84710976 points, rank 2432
Team OdisokVES: 1801391080 points, rank 551
Team jrugIdnlzt: 2140637574 points, rank 204
Team eVdkpGELfIDphmySmBc: 1692836633 points, rank 671
Team wtQGxyk: 1098038000 points, rank 1358
Team thUEnoZtGsONmblWB: 1753622517 points, rank 602
Team RKFxEUu: 3244020587 points, rank 21
Team itfYuzIJLt: 2098573962 points, rank 239
Team PhsnCWNPvafEdCSdy: 327537787 points, rank 2207
Team oBuFqzNryH: 3014861198 points, rank 35
Team prbPWmnqoMOwTTD: 1805703692 points, rank 551
Team kxNPyvI: 986874709 points, rank 1486
Team agXwrWwDs: 2076809128 points, rank 265
Team vmDvwigH: 1454043298 points, rank 964
Team NzViHyM: 764356602 points, rank 1780
Team YlZjWHpUeNTJwcm: 1387230716 points, rank 1069
Team TRFEWZUCzAD: 1453075038 points, rank 976
Team pZRvA: 768374989 points, rank 1776
Team hanmFMpwKQETgIv: 1713604913 points, rank 665
Team NuFFZcRSJFkd: 1181725940 points, rank 1289
Team nXqMuzwBsuOQvM: 258561633 points, rank 2338
Team JSGRTrWn: 299528610 points, rank 2293
Team cyCqXifZQBjo: 730866791 points, rank 1824
Team nfhGTpEMqBHnhlzeliak: 1301572480 points, rank 1165
Team ZMWyrFbTGGeKvrWkUqk: 1785366805 points, rank 588
Team lXPTEZESOvTmXeg: 528067644 points, rank 2090
Team eGVeIY: 2033627570 points, rank 320
Team LRwxYta: 80557964 points, rank 2555
Team FQExIOUsGxL: 931266504 points, rank 1599
Team aBQKAaVjNjrK: 582494110 points, rank 2025
Team NGqUwnlMomSZVLGSdi: 1926112128 points, rank 440
Team AzxnF: 365172171 points, rank 2270
Team lnYGFNMI: 929498416 points, rank 1619
Team EerWfObtxmPtzL: 814187850 points, rank 1782
Team XCNiDvBEmMkDYEtsscwP is ELIMINATED
Team jhasrbfjNvbckQvaTDIB: 1778477532 points, rank 605
Team tGCmWysXWlzFIkMoOQ: 2684020003 points, rank 89
Team yEPPIYBoo: 2017964481 points, rank 344
Team cNPhbLa is ELIMINATED
Team aQhReGVHpp: 772492961 points, rank 1872
Team kytEvPmbmMIgtck: 1976502408 points, rank 387
Team DEHnUuuTiVagufdhGGAT: 518201876 points, rank 2200
Team xHkxwFnWpM: 1867520112 points, rank 520
Team MeCOf: 317374034 points, rank 2427
Team buZNLqxMjguJT: 2969007746 points, rank 47
Team tSYkxbshFPj is ELIMINATED
Team JXsAlKo: 339126963 points, rank 2408
Team JlefTf: 2433241233 points, rank 134
Team mpVdvWkqFGegab: 1698794590 points, rank 726
Team gMYhinhYVQckBwana: 1841201669 points, rank 559
Team GddlLRqJ: 871196309 points, rank 1777
Team WJurJcWuFCQcbgco: 127318653 points, rank 2654
Team GLIcRcWFoaKCVpwDbBBM is ELIMINATED
Team GjaltkItbkB: 194232454 points, rank 2592
Team FyqOVhAxu: 342566120 points, rank 2417
Team qeSxDzBpYhjPTZjZTQbf: 1696740304 points, rank 732
Team GiOPcIizVxKVmrp: 1509984444 points, rank 984
Team eXiMSZJkVUPHfrNQy: 1777688511 points, rank 626
Team aTTadPdYNzV: 2408615407 points, rank 142
Team XpbfLYglwRTZk: 1849379581 points, rank 557
Team unNOYvXoO: 961711211 points, rank 1688
Team gGIgTSbbhJJKFSOSX: 1988416358 points, rank 390
Team uokPDJbvTwPD: 894004973 points, rank 1776
Team ISXWLn: 1512264607 points, rank 997
Team lFokjgekke: 477611923 points, rank 2315
Team NRrLsMJADcVfKurF: 1453611984 points, rank 1082
Team KJgQFUZuFWTKMCv: 583294694 points, rank 2185
Team aCTodWFcM: 2574107734 points, rank 105
Team njadnUBuojAqv: 1583056336 points, rank 914
Team OFCSZdZFraOAe: 1353752031 points, rank 1217
Team PAuKNoZLsTEX: 785865917 points, rank 1944
Team dIYNuEkmVOsgW: 354555807 points, rank 2464
Team RZmdK: 1958174130 points, rank 431
Team rhhlyUyOPeroWIBWjmXM: 661697369 points, rank 2093
Team wyGgtBCHGEbPUWOwi: 1600868090 points, rank 896
Team hJbvsw: 1606684432 points, rank 886
Team RVLsr: 141874476 points, rank 2719
Team lQFlnPLIXAgkThe: 196508386 points, rank 2662
Team nPFYDDKMuFaciJO: 1364298566 points, rank 1217
Team OFCSZdZFraOAe: 1353752031 points, rank 1228
Team gpgkifYmcdeGWxeuvbO: 546078861 points, rank 2264
Team buZNLqxMjguJT: 2969007746 points, rank 50
Team FTIazAgJwDZHfahiyAnt: 645763831 points, rank 2118
Team xOwlmItSyCTtNfDCTyxc: 274991074 points, rank 2578
Team NNPcBppbQgSWX: 1792302230 points, rank 638
Team RayAxgzeU: 1984590074 points, rank 400
Team XANILSeN: 949222474 points, rank 1742
Team ugBTBdJv: 1372650129 points, rank 1220
Team oYhokXhIYQOsGe: 774238099 points, rank 1988
Team vOkbjzWgxmqKZgPJ: 382991416 points, rank 2476
Team wOkXYtDU: 1669344246 points, rank 806
Team thefMxasjxsIhEhPvf: 3072346084 points, rank 36
Team YKLCYSLLGzWPqyRN: 114442653 points, rank 2793
Team yywTRecqwuIvImq: 90255712 points, rank 2823
Team wyCDuFVYnFoS: 601158596 points, rank 2213
Team iSXzwOSDeqsEsXrwK: 2038515419 points, rank 351
Team czLFbp: 1444078022 points, rank 1124
Team YcjKYQhNu: 895210234 points, rank 1837
Team bqjtzlWLGDxdlHw is ELIMINATED
Team YLOAHEyWcycNIfuuCvAm: 992329516 points, rank 1705
Team eGGaPuK is ELIMINATED
Team fzbhxgRO: 1849995835 points, rank 587
Team GkTpHNI: 1417553 points, rank 2939
Team aqXVuunQwALXiUejj: 738120626 points, rank 2054
Team FGmqHfbTlxwGxyZtLO: 905512566 points, rank 1828
Team CNSOkwtmvISL: 1479296761 points, rank 1074
Team TAqXCO: 151808756 points, rank 2782
Team kzuPBRePfu: 604647777 points, rank 2239
Team duiWovMGjcFQ: 1585737985 points, rank 942
Team ROueUIPbJhwcZusHzn: 675971435 points, rank 2140
Team VzefkEhvBiyQzMf: 63751482 points, rank 2894
Team jwzQBLhLwqNYNXYNOQGZ: 1990954341 points, rank 412
Team erQTg: 849665160 points, rank 1926
Team CByQwy is ELIMINATED
Team KslSONdaLpYjK: 1858634911 points, rank 583
Team xqYHOMvfKqJTggsc: 1631197798 points, rank 877
Team xbbHnt: 2141150562 points, rank 232
Team RYEWHWFdhSLWStlEckX: 817696259 points, rank 1975
Team PhsnCWNPvafEdCSdy: 327537787 points, rank 2597
Team VDqiSsectLMTZAVye: 396727867 points, rank 2526
Team FzQyFLcHyFQuBpyp: 420475233 points, rank 2491
Team OcpsTtlMwLnXldlnpGD: 30762345 points, rank 2959
Team cMuevEuRkSXa: 249977150 points, rank 2694
Team fzbhxgRO: 1849995835 points, rank 601
Team QGkcYhCbbQhCGKWTyaD: 2962437839 points, rank 53
Team nuUuPrjeN: 168328711 points, rank 2809
Team qpUFiPGiavumxU: 1344355500 points, rank 1293
Team MnbvnrbWcNT: 303740068 points, rank 2648
Team UZBdq: 394816083 points, rank 2563
Team ZgQbOxDOOhJFJx: 412932572 points, rank 2534
Team uKUqAHCtYDjuETC: 1280201827 points, rank 1400
Team AsaBjXbovLBhDVAuG: 1257487083 points, rank 1425
Team uXZqqzMJn: 1914004869 points, rank 521
Team bjHLvzS: 1847055062 points, rank 611
Team YnBcUABvhhD: 464074526 points, rank 2489
Team jNzjd: 153284587 points, rank 2856
Team JWxROaBncFQsPZFy: 1971091477 points, rank 445
Team lofWNpJb: 1830092705 points, rank 639
Team ymInSeN is ELIMINATED
Team ZvFebfmoCCUCnytA: 3280138185 points, rank 22
Team BLuNmxeTAAjQqCKVdXEk: 489730569 points, rank 2455
Team JiEqhQy: 2002543835 points, rank 409
Team lfkkyKsSEdS: 1656120838 points, rank 866
Team ftWgPYPuOpjaHWoPiIMI: 555510744 points, rank 2370
Team KHXrqv: 2013611328 points, rank 395
Team TxFlpG: 1595844739 points, rank 959
Team cuYritB: 848499575 points, rank 1993
Team OxqPVq: 325810744 points, rank 2669
Team jrugIdnlzt: 2140637574 points, rank 242
Team FZoktOWEKf: 1534528859 points, rank 1055
Team VTcJgcVrJJzWDZHkE: 1671384379 points, rank 857
Team dJlxRexWVCcRfI: 894701735 points, rank 1940
Team akouaNoXbdTmrJMR: 871694937 points, rank 1974
Team AhCpvEk is ELIMINATED
Team NVEjpHiXIlybR: 839847091 points, rank 2031
Team kUnpWrsGzKfKD: 1560481671 points, rank 1026
Team anVeblbTupJXYFIKWb: 1748814647 points, rank 751
Team lZBXTC: 1447568454 points, rank 1190
Team JefKbqI: 851184323 points, rank 2015
Team xTXlLRlGqJCEbYqIFMvZ: 1629816924 points, rank 923
Team tPpkDaAiqvg: 1861286377 points, rank 605
Team eXiMSZJkVUPHfrNQy: 1777688511 points, rank 714
Team mdjQGy: 578302562 points, rank 2402
Team iyFWqMnaxJE: 1201191965 points, rank 1541
Team DIpSsUbLoOhiiYGe: 270685808 points, rank 2798
Team Vzxgp: 115164942 points, rank 2997
Team cGgUUaLqbVCtVpqZJ: 2692207285 points, rank 97
Team eziZi: 258130797 points, rank 2824
Team XFVhsNYXraMzF: 2062808325 points, rank 339
Team qieYDbDbQxgUGOx: 833088289 points, rank 2075
Team dKZfwX: 1252773521 points, rank 1486
Team mlakfpYCTYuHLAJ: 1434711288 points, rank 1218
Team bMedzVfmXOjwzVyhd: 1175116651 points, rank 1586
Team HSHuR: 875978766 points, rank 2010
Team CzkGhMrNz: 1103912676 points, rank 1686
Team TxFlpG: 1595844739 points, rank 988
Team fnIbGcYjpLIYWkDzGqFG: 1533413711 points, rank 1083
Team AwwLDpmHbbrH is ELIMINATED
Team WNewWLWppGYWEqkiMvid: 1270549811 points, rank 1469
Team KJjuQMHmyodoFracrBk: 450560955 points, rank 2624
Team HdhOBj: 375286171 points, rank 2722
Team gZNxXAlWhzetbITqdBS: 2508785788 points, rank 139
Team xrVbHb is ELIMINATED
Team lZNHkIJxGGPUFFJV: 712106542 points, rank 2258
Team CHNqpGHkEZYFWeRF: 2055749387 points, rank 355
Team lloqRNVYySXxq: 1342679297 points, rank 1384
Team GLIcRcWFoaKCVpwDbBBM is ELIMINATED
Team LMgKuduE: 1468618954 points, rank 1185
Team rGYcXYMQsEZhgWMNRGXy: 2019116405 points, rank 403
Team qwPwuyNQNJvf: 290530255 points, rank 2845
Team tWUZFpEOVXIstOPsFWd is ELIMINATED
Team csSMVxaMVAknfaZ: 502980646 points, rank 2590
Team VpfYkiiyNxIaCuo: 1456688807 points, rank 1209
Team lXaadDUziKVoHjt: 197124265 points, rank 2988
Team OibwR: 1391258680 points, rank 1330
Team ftfcPaLaqyx: 2116361445 points, rank 275
Team wQaUC: 526813480 points, rank 2583
Team ljVBnNlAcDlsBB: 950752549 points, rank 1955
Team klVWEwFoORqXWpJTLz: 969899016 points, rank 1925
Team ykIQVLzbBhAWj is ELIMINATED
Team fmditKUZpWDUx: 361753478 points, rank 2786
Team OcpsTtlMwLnXldlnpGD: 30762345 points, rank 3215
Team WQQTMOTK: 176955833 points, rank 3030
Team rtdIgJcCiLhIgLOrg: 778817870 points, rank 2215
Team pzDlMHEP: 1759415667 points, rank 767
Team zwqnvjU: 801897808 points, rank 2190
Team LWztbL: 1907783098 points, rank 564
Team YEasJXrjdbcAvqqLJHb: 2021551642 points, rank 402
Team FTIazAgJwDZHfahiyAnt: 645763831 points, rank 2412
Team cNfXCmYAjKDXxsMM: 1903106960 points, rank 581
Team iixYchRWlrW: 1938308023 points, rank 529
Team pdhQiMDsjwPPlLjnDw is ELIMINATED
Team zVBeJxPR: 3224752042 points, rank 32
Team TPWQVMWEcZlJtaCvy: 1219646137 points, rank 1592
Team BMktdVGBvapPMkMaa: 773889463 points, rank 2259
Team PVosFRlAXLyeL: 1607327850 points, rank 1014
Team hMgeEatH: 99688337 points, rank 3176
Team nuUuPrjeN: 168328711 points, rank 3093
Team hSygXauBsnchrErnlASN: 294906225 points, rank 2918
Team NIgSYLrWxLcLOydz: 226266253 points, rank 3013
Team MmcouiQAlZzLCM: 968221367 points, rank 1973
Team bcNeLxlH: 670341050 points, rank 2409
Team zSdzGjMbLsE: 762821602 points, rank 2291
Team idyAWjdTYUUpfAivvd: 693259158 points, rank 2386
Team MnzAnSNykVEXSAWTUnhW: 205871393 points, rank 3059
Team AlYzIOsNxidBNfrIsc: 1777480252 points, rank 761
Team fCfwoHrmtRzrQWTcMhZ: 1116555473 points, rank 1765
Team nFflA: 513271240 points, rank 2690
Team GeZvVGSSnsFvJGZxVd: 761627297 points, rank 2320
Team UKmRuJPoTijPDsV: 1659994410 points, rank 950
Team FpOfoFqD: 1588041839 points, rank 1073
Team KInicwEoyChdbYnjfh: 1794574628 points, rank 755
Team fxTfMAXlUgBHTiQoi: 2098419902 points, rank 317
Team wTyFcMXHaOMy: 2896303816 points, rank 67
Team MmevGpZtgYXpbGbaMOrH: 989905149 points, rank 1978
Team DdaFBzH: 442893380 points, rank 2803
Team GnPvslEJmt: 1972396194 points, rank 504
Team BatutkCJd: 801481958 points, rank 2296
Team SFFTHHM: 939382910 points, rank 2080
Team JVxCNbf: 850407217 points, rank 2229
Team WtdyXU: 953942900 points, rank 2065
Team xEOJOTVSozrsBxjNRMIj: 1890990002 points, rank 630
Team DKpQfwIZUHUTz: 2071165600 points, rank 362
Team eqkzV: 216036511 points, rank 3141
Team ingQbtgideU: 1716955334 points, rank 881
Team fgUjWzAHRpryJL: 2143226679 points, rank 269
Team VpZsB: 1869517743 points, rank 661
Team FJeWUJkoDWxhk: 908780771 points, rank 2149
Team QeGJlpUlFXvoBqEZyV: 1719513853 points, rank 879
Team JSqJNcBxk: 1563305090 points, rank 1146
Team rOqBYxljNl: 1687361593 points, rank 939
Team SLtblUE: 1394705531 points, rank 1423
Team ibApibzhaRxAuIWtbL: 480543069 points, rank 2828
Team MnzAnSNykVEXSAWTUnhW: 205871393 points, rank 3221
Team xEUkKOlo: 234178930 points, rank 3176
Team jLqHzgjqe: 767094476 points, rank 2400
Team kLCZNLMetQIYmuFZz: 1161607344 points, rank 1788
Team mGcUB is ELIMINATED
Team QMewGjBhmYENnqG: 1942088437 points, rank 559
Team yywTRecqwuIvImq: 90255712 points, rank 3403
Team mgZCps: 1657554888 points, rank 1004
Team znNLFlzGDJXJvxRjCcG: 259086098 points, rank 3167
Team eDpIOQzX: 819492772 points, rank 2343
Team mGcUB is ELIMINATED
Team bGioyn: 1727615881 points, rank 888
Team JXVbPjPEqYQyaRD: 2081934853 points, rank 352
Team AbiEQeWjYS: 2838754537 points, rank 77
Team wgzBhGNZndZLTLQMUPNS is ELIMINATED
Team aTvmVJBhZBKwabThljI: 1099001732 points, rank 1904
Team wHPllKcoFr: 1488450940 points, rank 1274
Team SBzaoY: 528855759 points, rank 2814
Team xFkumRljD: 3235482773 points, rank 32
Team hGkHITYr: 1626806471 points, rank 1064
Team qxTKktAtnQSkHBsMSvaS: 1954677726 points, rank 551
Team jWDhojqHKmTx: 12897090 points, rank 3561
Team ZQyXwOY: 1494582915 points, rank 1274
Team DvweIYUKuqXcwdhw: 1468468218 points, rank 1315
Team gTcAqCgYmzLbCTUKOvjv is ELIMINATED
Team ZIxtNgTEZzZKluMTIRPq: 1304607168 points, rank 1605
Team JBNGXrpEDkopIW: 1202709890 points, rank 1765
Team WNnjvDebpEoejnmL: 39449854 points, rank 3557
Team DxhAjNUceCcmJMjUR: 2855704233 points, rank 72
Team QNatHofodpEmAvPQQVh: 848157401 points, rank 2354
Team dcwaZcJryjFVUEL: 1624730956 points, rank 1082
Team GnPvslEJmt: 1972396194 points, rank 530
Team lyccKvRzYlAazf: 276119041 points, rank 3228
Team UHWkMwPQrz: 1906792538 points, rank 634
Team conqKgicEhzsRS: 1981124694 points, rank 516
Team ZIxtNgTEZzZKluMTIRPq: 1304607168 points, rank 1631
Team OGiPwmf: 479577355 points, rank 2948
Team uJmKWzFIuCbHmcsCuIdD: 360689227 points, rank 3113
Team VTnCJvaDlycjcGpZzgn: 3162563055 points, rank 41
Team lYdQlEhhmHJEfjk: 655806693 points, rank 2658
Team MZxDbEpdkeLPK: 1169032277 points, rank 1853
Team iVPIvKtkXjsNI: 730069473 points, rank 2565
Team LbXLkATtvLjpFaVFpc: 849067628 points, rank 2388
Team hXZbSdbxgyyWEOT: 1763896789 points, rank 848
Team YTljZTWmRGu: 1031151259 points, rank 2083
Team yWrasJxKNEztA: 418208102 points, rank 3081
Team XFxevvtfk: 2123093590 points, rank 306
Team RHDRmEypUfl: 1678318808 points, rank 1008
Team CQwvIIOabdNNUxynLoF: 965021936 points, rank 2205
Team MVyZZJMtIZifmVyeg: 621473592 points, rank 2750
Team VsknZnKOvGtRYgc: 236557698 points, rank 3354
Team NtzKakQLmzMLgC: 2145156002 points, rank 286
Team rGpQQAeIvLuw: 609572542 points, rank 2774
Team ugBTBdJv: 1202464545 points, rank 1817
Team auvbu: 926735443 points, rank 2270
Team QYxugItRXdPDGDNcnL is ELIMINATED
Team IXmhgJPLhTQI: 343797504 points, rank 3207
Team gmuMCeO: 547806504 points, rank 2907
Team iOkoBmiwUPBLVstyyKB: 1948789478 points, rank 581
Team DDEWYKFtw: 1911722526 points, rank 647
Team zouJFhTB: 1187914033 points, rank 1855
Team tgquhEswuLGMvmtSs: 1103139919 points, rank 1997
Team cWGSuUyYV: 1763266030 points, rank 871
Team gruNDApqJ: 1664894553 points, rank 1057
Team PKKmRpAinzFvdoaV: 3488503604 points, rank 13
Team EhkdLTfXCjuZ: 1420897226 points, rank 1482
Team EjKBBCF is ELIMINATED
Team mursrJHYpXnJpY: 2776699576 points, rank 98
Team fwfZwWocPfPPKEV: 1686254742 points, rank 1016
Team gMYhinhYVQckBwana: 1841201669 points, rank 764
Team QXwxydKzWqDwqmy: 1830252717 points, rank 790
Team xOxESVWtOO: 833831831 points, rank 2491
Team YoyBUqpUxdMRh: 131666627 points, rank 3612
Team EqlkNkfhsnnbPwiFmXob: 301701638 points, rank 3349
Team ZbBgigZ: 1153015269 points, rank 1948
Team pChKobdTJgzrABkoLprq: 1220396698 points, rank 1836
Team MGpcbAodgfneCURf: 474647440 points, rank 3098
Team rIkMTkWPDVerSRaP: 1759354153 points, rank 895
Team QAVJZLDbkNLnARkoL: 1623687802 points, rank 1145
Team FkQlxlICJxc: 1211177652 points, rank 1852
Team mnpDW: 1706721738 points, rank 985
Team SlyPIM: 2044394907 points, rank 439
Team hYxDtxQ: 673583034 points, rank 2757
Team SAHjT: 1532172387 points, rank 1302
Team hXZbSdbxgyyWEOT: 1763896789 points, rank 888
Team aPxcIkvVDcPjdZWCTJRt: 1913356589 points, rank 663
Team NGqUwnlMomSZVLGSdi: 1523105400 points, rank 1318
Team bCOUGfBmfmHFjILQxpX: 1285116740 points, rank 1753
Team VqRqZPYD: 1358826695 points, rank 1616
Team AkyHTMEXUUKnFpYtn: 1790778129 points, rank 865
Team fSdzCVhbnFU: 1963198569 points, rank 583
Team Ywgovq: 2069950908 points, rank 405
Team hzUyeSACspNqHILcviW: 708827039 points, rank 2726
Team XGfdJdnfrDJfNgjAx: 1743125394 points, rank 932
Team akouaNoXbdTmrJMR: 871694937 points, rank 2470
Team glNqzKIFE: 1555916406 points, rank 1270
Team tgsHPK is ELIMINATED
Team EGKJrptS: 2032218505 points, rank 468
Team gfIYVXAYJ: 504175876 points, rank 3107
Team qvCVGwwK: 1370151327 points, rank 1617
Team mAwXGWZuBzBGfv: 2055885544 points, rank 426
Team dbRWuFWtcsLB: 551716006 points, rank 3029
Team PZUMbhMkEIfdhPj: 2082695765 points, rank 387
Team SLtblUE: 1394705531 points, rank 1577
Team eWedboEtQSvCybVzd: 2605478570 points, rank 135
Team BhnwvRMUzapmOZIPVn: 3357614083 points, rank 20
Team WjLDimxKgMZj: 1248798133 points, rank 1838
Team jBPiOgR: 1930298525 points, rank 647
Team CbDEgVGJxuZ is ELIMINATED
Team eNMKryzaORrcpKOgIuF: 93840443 points, rank 3797
Team tdBLEPsCBaXHBKety: 1078794219 points, rank 2125
Team gBTWtAp: 786368582 points, rank 2644
Team RJEHKIKCAYcjLQ: 2064982129 points, rank 421
Team GEOEGeB is ELIMINATED
Team fhJhhElTrrNlSjCAfvXy: 1661150788 points, rank 1113
Team VIrVEaeTnLUlKqfDnQs: 137519580 points, rank 3739
Team QRoxdWoZuUefc: 1415955915 points, rank 1553
Team jvAfCnWDC: 1673817038 points, rank 1082
Team Ubfypt: 1789079047 points, rank 888
Team qlmXASLxUgrwMxU: 2021489433 points, rank 502
Team YNXosEQaLKAGHGY: 429804714 points, rank 3299
Team tFdfmIgexkIitcfVMhH: 69379412 points, rank 3869
Team fRbekQmwHmEBBKnru: 1342685891 points, rank 1693
Team UbBkIWiCUHWcq: 326943930 points, rank 3456
Team kaSqtuFiHrDKNDE: 1873418536 points, rank 755
Team YIYIVzE: 779483433 points, rank 2698
Team NfDgrJOiVc: 654809015 points, rank 2917
Team tGPaChtbGBcApZKZqFex: 1578338354 points, rank 1273
Team qElQGozihRLSlivQKMly: 1683696630 points, rank 1076
Team VzUYotmJXtxf: 1659550814 points, rank 1132
Team PSEbQMkZuMj: 603795085 points, rank 3016
Team LQaNWpiKMLDodzaBihO: 2085408833 points, rank 396
Team cpLrMLnAkL: 1008856669 points, rank 2307
Team ceqbBlTfWQxwlM: 1111764908 points, rank 2122
Team sUpXjEmEW: 1407058138 points, rank 1605
Team tqcHtWbZKjNact: 860637614 points, rank 2595
Team ZDEzIhPVumXxzSV: 48622994 points, rank 3964
Team knVERQEXGDsR: 871219012 points, rank 2580
Team uJmKWzFIuCbHmcsCuIdD: 360689227 points, rank 3465
Team VWgIWsXeoGA: 3882021216 points, rank 1
Team QGcnumJYpqBWGoe: 1182825598 points, rank 2021
Team HrrrbmI: 552513937 points, rank 3148
Team EEhLHg: 1464655486 points, rank 1493
Team rGpQQAeIvLuw: 609572542 points, rank 3043
Team QmyUiDiFOBnFP: 853215582 points, rank 2640
Team LneuuAAkJgbPUXVNfr: 1727446023 points, rank 1013
Team WqMCHYkmfCunUFz: 512503027 points, rank 3256
Team aVIQSPPPNEl: 666450682 points, rank 2958
Team uWHgBeVYKXVPhEW: 11113676 points, rank 4081
Team oMQFSNPibqsH: 1083338271 points, rank 2213
Team CRuVjD: 1518237473 points, rank 1419
Team hanmFMpwKQETgIv: 1713604913 points, rank 1046
Team lTxRMLGFbFZwJzew: 538955218 points, rank 3219
Team tLusIIbjieAMGg: 2075851535 points, rank 439
Team GCdbF: 38517897 points, rank 4083
Team PsgGxtfzkTAdb: 1409024874 points, rank 1646
Team kusjKlJiXjmfeUOQjVEq: 450577148 points, rank 3410
Team oBMatLEYld: 1713203035 points, rank 1058
Team NuFFZcRSJFkd: 1181725940 points, rank 2066
